שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ג'ולאן,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0,2,2,2,2,0,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,0,2,2,6,6,2,2
ג'וליאן,180,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,2,0,0,2,2,2,2,6,8,6,6,7,11,5,10,7,11,7,12,2,5,7,9,9,7,7,9,7,2
ג'יהאד,105,2,0,0,2,2,2,0,0,2,6,2,2,2,2,2,2,5,2,0,0,2,2,2,2,2,0,2,2,5,0,2,0,2,2,2,2,0,2,2,0,2,0,0,0,0,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2
ג'לאל,97,2,0,0,0,0,0,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,0,2,2,2,2,5,7,2,6,5,2,5,5,0,2,6,2,2,2,6,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
ג'מאל,400,9,6,7,5,9,10,7,5,10,5,10,5,6,12,7,12,10,5,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,8,2,2,2,0,9,5,2,2,2,7,6,0,5,2,2,2,5,5,6,8,0,2,2,11,2,7,5,2,6,2,11,8,6,6,5
ג'מיל,191,2,2,5,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,2,2,2,2,8,2,2,2,6,5,2,2,2,0,5,2,2,2,2,0,5,2,7,2,2,2,2,0,2,2,2,2,2
גדי,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2,2,2,6,2,2,0,2,2,0,2,2,0,2,0,2,2,2
גוד,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,5,2,2,2,2,5,2,2,6
גולן,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,2,2,0,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,8,10,2,2,2,6,2,7,2,0,2,0
גסאן,87,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,2,2,6,2,2,6,2,2,2,6,5,2,2,2,2,2,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
